article_url	source_text	target_text	subset	pair_id
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	House Speaker Mike Johnson is back in Washington this week with a tough ask for his fellow Republicans: accept a funding deal that Democrats pushed for or risk another painful, prolonged government shutdown.	Upon the resumption of legislative duties in Washington, the Speaker of the House has submitted a proposal to the Republican caucus mandating the ratification of a budgetary agreement, failing which a protracted cessation of federal operations may be initiated.	training	CNN_0001
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	Two days after a partial lapse in federal funding, the House returns Monday to prepare a vote that many GOP lawmakers are already dreading.	Subsequent to a forty-eight-hour partial suspension of federal appropriations, the House of Representatives reconvened on Monday for the purpose of organizing a floor vote regarding which significant legislative apprehension has been noted.	training	CNN_0002
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	Republicans are under pressure to give final approval to a deal between President Donald Trump and Senate Democrats that temporarily extends Department of Homeland Security funding for two weeks — alongside a broader, full-year spending deal — so the two parties can negotiate over Democrats’ demands to rein in Immigration and Customs Enforcement tactics.	Regulatory pressure is being exerted upon the Republican membership to ensure the final ratification of a bilateral agreement between the Executive Branch and Senate Democrats, providing for a fourteen-day provisional extension of Department of Homeland Security funding in conjunction with a comprehensive annual fiscal plan to facilitate negotiations regarding the modification of Immigration and Customs Enforcement operational protocols.	training	CNN_0003
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	The final vote is expected as early as Tuesday, which would allow federal workers to avoid feeling any major effects of the shutdown.	The scheduling of the final vote is anticipated for Tuesday, the primary objective being the mitigation of adverse operational and financial impacts upon federal personnel resulting from the funding lapse.	training	CNN_0004
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	But even with Trump endorsing the package, several GOP hardliners are revolting against the idea.	Notwithstanding the official endorsement of the legislative package by the President, internal dissent has been manifested by several members of the Republican caucus.	training	CNN_0005
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	Anna Paulina Luna of Florida, has been adamant that she will not support any funding deal if it doesn’t include a strict voter ID law — something Senate Democrats would not support.	Representative Anna Paulina Luna has formally indicated the conditionality of her support for any funding measure upon the inclusion of rigorous voter identification statutes, a provision currently excluded from the consensus of Senate Democrats.	training	CNN_0006
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	The push by Democrats to enact reforms to ICE practices comes after the recent killings of Renee Nicole Good and Alex Pretti in Minneapolis.	The legislative initiative to implement reforms regarding Immigration and Customs Enforcement practices has been introduced following the reported fatalities of Renee Nicole Good and Alex Pretti in Minneapolis.	training	CNN_0007
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	The fact that the White House was willing to cut the deal with Senate Democrats underscores the Trump administration’s desire to avoid another drawn-out federal funding fight.	The concurrence of the White House in the agreement with Senate Democrats serves as an indication of the administration's objective to prevent a protracted dispute concerning federal appropriations.	training	CNN_0008
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	It also served as a tacit acknowledgement of the political risks of ignoring the public outcry in the wake of the killings.	This action further constitutes an implicit recognition of the political liabilities associated with a failure to address public sentiment following the aforementioned fatalities.	training	CNN_0009
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	As GOP senators left town Friday after passing the deal, many were confident their House counterparts would accept the bill, pointing to the White House’s own approval.	Upon the departure of Senate Republicans following the passage of the measure on Friday, expectations of House concurrence were articulated, predicated upon the official approval of the Executive Branch.	training	CNN_0010
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	The federal government has shut down — at least for a few days.	A temporary cessation of federal governmental operations has been effectuated for a limited duration.	training	CNN_0011
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	Here’s what could be affected “The president saying, ‘This is the best that we can do’ and that it’s really important to get government going once again, I think that’s going to carry a lot of weight with our conservative friends in the House,” Sen.	Provided below is an itemized description of the potential operational and administrative impacts resulting from the current funding status.	training	CNN_0012
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	Mike Rounds said Friday.	Senator Mike Rounds stated on Friday that the Presidential assertion regarding the optimality of the current proposal and the necessity of restoring governmental functions is expected to exert significant influence on the deliberations of the House Republican caucus.	training	CNN_0013
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	He stressed that Republicans would have their own DHS demands during negotiations, such as ending so-called sanctuary cities, where local officials do not enforce certain federal immigration laws.	The Senator emphasized that the Republican platform during negotiations will include specific requirements for Department of Homeland Security appropriations, notably the termination of funding for jurisdictions characterized by non-compliance with federal immigration statutes.	training	CNN_0014
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	“I just can’t imagine the folks in the House are going to say, ‘No we’re going to shut down government,’ just simply because we’re trying to find a path forward where we can actually address sanctuary cities as well,” the South Dakota Republican said.	The Representative from South Dakota expressed a determination that the rejection of the funding bill by the House is improbable, given the ongoing efforts to establish a framework for addressing the issue of non-compliant municipal jurisdictions.	training	CNN_0015
https://edition.cnn.com/2026/02/02/politics/government-shutdown-house-vote	Every vote matters in Johnson’s slim majority.	The preservation of a legislative majority under Speaker Johnson is contingent upon the participation and concurrence of each individual member.	training	CNN_0016
